scheme,requested_model_name,actual_model_name,strategy,weighted_accuracy,mean_latency_sec_across_tasks,mean_vram_gb_across_tasks,mean_flops_per_token
paper_original,gemma_4_26b_a4b,gemma_4_26b_a4b,cot,0.7410571428571429,8.401336378069876,48.06737232208252,
paper_original,gemma_4_26b_a4b,gemma_4_26b_a4b,few_shot_cot,0.7094285714285714,10.403567567500543,48.06737232208252,
paper_original,gemma_4_26b_a4b,gemma_4_26b_a4b,zero_shot,0.783583193277311,7.087543092488585,48.06737232208252,
paper_original,gemma_4_e2b,gemma_4_e2b,cot,0.6457495798319328,4.4804135230638,9.543148517608644,
paper_original,gemma_4_e2b,gemma_4_e2b,few_shot_cot,0.6917226890756302,5.9175911750894725,9.543148517608644,
paper_original,gemma_4_e2b,gemma_4_e2b,zero_shot,0.6618941176470589,5.197454099977937,9.543148517608644,
paper_original,gemma_4_e4b,gemma_4_e4b,cot,0.7524201680672269,4.840486979678868,14.894491195678713,
paper_original,gemma_4_e4b,gemma_4_e4b,few_shot_cot,0.7541831932773111,3.793645703079899,14.894491195678713,
paper_original,gemma_4_e4b,gemma_4_e4b,zero_shot,0.7522756302521009,4.386367710199457,14.894491195678713,
paper_original,phi_4_mini_reasoning,phi_4_mini_reasoning,cot,0.28680672268907564,8.163670218877916,7.145148277282715,
paper_original,phi_4_mini_reasoning,phi_4_mini_reasoning,few_shot_cot,0.3942268907563026,8.152990486092522,7.145148277282715,
paper_original,phi_4_mini_reasoning,phi_4_mini_reasoning,zero_shot,0.28063025210084036,8.190883137218169,7.145148277282715,
paper_original,qwen3_30b_a3b,qwen3_30b_a3b,cot,0.6389680672268908,15.025042094450225,57.62053298950195,
paper_original,qwen3_30b_a3b,qwen3_30b_a3b,few_shot_cot,0.6782941176470589,14.090466079096224,57.62053298950195,
paper_original,qwen3_30b_a3b,qwen3_30b_a3b,zero_shot,0.6568521008403361,14.706398877584853,57.62053298950195,
paper_original,qwen3_8b,qwen3_8b,cot,0.5461697478991597,7.96566062910836,15.256451606750488,
paper_original,qwen3_8b,qwen3_8b,few_shot_cot,0.7203781512605043,7.272222863125857,15.256451606750488,
paper_original,qwen3_8b,qwen3_8b,zero_shot,0.546764705882353,7.524197788761084,15.256451606750488,
equal_weights,gemma_4_26b_a4b,gemma_4_26b_a4b,cot,0.7512142857142857,8.401336378069876,48.06737232208252,
equal_weights,gemma_4_26b_a4b,gemma_4_26b_a4b,few_shot_cot,0.7468571428571428,10.403567567500543,48.06737232208252,
equal_weights,gemma_4_26b_a4b,gemma_4_26b_a4b,zero_shot,0.7968193277310924,7.087543092488585,48.06737232208252,
equal_weights,gemma_4_e2b,gemma_4_e2b,cot,0.6409579831932775,4.4804135230638,9.543148517608644,
equal_weights,gemma_4_e2b,gemma_4_e2b,few_shot_cot,0.6637689075630251,5.9175911750894725,9.543148517608644,
equal_weights,gemma_4_e2b,gemma_4_e2b,zero_shot,0.6499117647058823,5.197454099977937,9.543148517608644,
equal_weights,gemma_4_e4b,gemma_4_e4b,cot,0.7395168067226892,4.840486979678868,14.894491195678713,
equal_weights,gemma_4_e4b,gemma_4_e4b,few_shot_cot,0.7643193277310925,3.793645703079899,14.894491195678713,
equal_weights,gemma_4_e4b,gemma_4_e4b,zero_shot,0.760063025210084,4.386367710199457,14.894491195678713,
equal_weights,phi_4_mini_reasoning,phi_4_mini_reasoning,cot,0.40867226890756303,8.163670218877916,7.145148277282715,
equal_weights,phi_4_mini_reasoning,phi_4_mini_reasoning,few_shot_cot,0.4856890756302521,8.152990486092522,7.145148277282715,
equal_weights,phi_4_mini_reasoning,phi_4_mini_reasoning,zero_shot,0.4010252100840336,8.190883137218169,7.145148277282715,
equal_weights,qwen3_30b_a3b,qwen3_30b_a3b,cot,0.6658067226890756,15.025042094450225,57.62053298950195,
equal_weights,qwen3_30b_a3b,qwen3_30b_a3b,few_shot_cot,0.7029117647058823,14.090466079096224,57.62053298950195,
equal_weights,qwen3_30b_a3b,qwen3_30b_a3b,zero_shot,0.6817100840336134,14.706398877584853,57.62053298950195,
equal_weights,qwen3_8b,qwen3_8b,cot,0.5814747899159665,7.96566062910836,15.256451606750488,
equal_weights,qwen3_8b,qwen3_8b,few_shot_cot,0.7393151260504203,7.272222863125857,15.256451606750488,
equal_weights,qwen3_8b,qwen3_8b,zero_shot,0.5854705882352942,7.524197788761084,15.256451606750488,
arc_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,cot,0.7887714285714286,8.401336378069876,48.06737232208252,
arc_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,few_shot_cot,0.7936857142857144,10.403567567500543,48.06737232208252,
arc_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,zero_shot,0.8413554621848741,7.087543092488585,48.06737232208252,
arc_heavy,gemma_4_e2b,gemma_4_e2b,cot,0.696566386554622,4.4804135230638,9.543148517608644,
arc_heavy,gemma_4_e2b,gemma_4_e2b,few_shot_cot,0.7088151260504203,5.9175911750894725,9.543148517608644,
arc_heavy,gemma_4_e2b,gemma_4_e2b,zero_shot,0.7047294117647059,5.197454099977937,9.543148517608644,
arc_heavy,gemma_4_e4b,gemma_4_e4b,cot,0.8047134453781513,4.840486979678868,14.894491195678713,
arc_heavy,gemma_4_e4b,gemma_4_e4b,few_shot_cot,0.8095554621848741,3.793645703079899,14.894491195678713,
arc_heavy,gemma_4_e4b,gemma_4_e4b,zero_shot,0.8153504201680672,4.386367710199457,14.894491195678713,
arc_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,cot,0.26613781512605045,8.163670218877916,7.145148277282715,
arc_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,few_shot_cot,0.33815126050420174,8.152990486092522,7.145148277282715,
arc_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,zero_shot,0.26452016806722695,8.190883137218169,7.145148277282715,
arc_heavy,qwen3_30b_a3b,qwen3_30b_a3b,cot,0.5152453781512605,15.025042094450225,57.62053298950195,
arc_heavy,qwen3_30b_a3b,qwen3_30b_a3b,few_shot_cot,0.572529411764706,14.090466079096224,57.62053298950195,
arc_heavy,qwen3_30b_a3b,qwen3_30b_a3b,zero_shot,0.5312680672268908,14.706398877584853,57.62053298950195,
arc_heavy,qwen3_8b,qwen3_8b,cot,0.42587983193277307,7.96566062910836,15.256451606750488,
arc_heavy,qwen3_8b,qwen3_8b,few_shot_cot,0.6213521008403362,7.272222863125857,15.256451606750488,
arc_heavy,qwen3_8b,qwen3_8b,zero_shot,0.4654764705882354,7.524197788761084,15.256451606750488,
gsm8k_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,cot,0.7362142857142857,8.401336378069876,48.06737232208252,
gsm8k_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,few_shot_cot,0.6922571428571428,10.403567567500543,48.06737232208252,
gsm8k_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,zero_shot,0.7737193277310926,7.087543092488585,48.06737232208252,
gsm8k_heavy,gemma_4_e2b,gemma_4_e2b,cot,0.6385579831932774,4.4804135230638,9.543148517608644,
gsm8k_heavy,gemma_4_e2b,gemma_4_e2b,few_shot_cot,0.6919689075630252,5.9175911750894725,9.543148517608644,
gsm8k_heavy,gemma_4_e2b,gemma_4_e2b,zero_shot,0.6559117647058823,5.197454099977937,9.543148517608644,
gsm8k_heavy,gemma_4_e4b,gemma_4_e4b,cot,0.748816806722689,4.840486979678868,14.894491195678713,
gsm8k_heavy,gemma_4_e4b,gemma_4_e4b,few_shot_cot,0.7418193277310925,3.793645703079899,14.894491195678713,
gsm8k_heavy,gemma_4_e4b,gemma_4_e4b,zero_shot,0.7459630252100842,4.386367710199457,14.894491195678713,
gsm8k_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,cot,0.27787226890756306,8.163670218877916,7.145148277282715,
gsm8k_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,few_shot_cot,0.39508907563025214,8.152990486092522,7.145148277282715,
gsm8k_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,zero_shot,0.2657252100840336,8.190883137218169,7.145148277282715,
gsm8k_heavy,qwen3_30b_a3b,qwen3_30b_a3b,cot,0.6844067226890758,15.025042094450225,57.62053298950195,
gsm8k_heavy,qwen3_30b_a3b,qwen3_30b_a3b,few_shot_cot,0.7167117647058825,14.090466079096224,57.62053298950195,
gsm8k_heavy,qwen3_30b_a3b,qwen3_30b_a3b,zero_shot,0.7012100840336134,14.706398877584853,57.62053298950195,
gsm8k_heavy,qwen3_8b,qwen3_8b,cot,0.6189747899159664,7.96566062910836,15.256451606750488,
gsm8k_heavy,qwen3_8b,qwen3_8b,few_shot_cot,0.7588151260504202,7.272222863125857,15.256451606750488,
gsm8k_heavy,qwen3_8b,qwen3_8b,zero_shot,0.6115705882352942,7.524197788761084,15.256451606750488,
math_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,cot,0.6973142857142858,8.401336378069876,48.06737232208252,
math_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,few_shot_cot,0.6528571428571428,10.403567567500543,48.06737232208252,
math_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,zero_shot,0.743366386554622,7.087543092488585,48.06737232208252,
math_heavy,gemma_4_e2b,gemma_4_e2b,cot,0.6118991596638657,4.4804135230638,9.543148517608644,
math_heavy,gemma_4_e2b,gemma_4_e2b,few_shot_cot,0.6818453781512605,5.9175911750894725,9.543148517608644,
math_heavy,gemma_4_e2b,gemma_4_e2b,zero_shot,0.6361882352941177,5.197454099977937,9.543148517608644,
math_heavy,gemma_4_e4b,gemma_4_e4b,cot,0.7082403361344538,4.840486979678868,14.894491195678713,
math_heavy,gemma_4_e4b,gemma_4_e4b,few_shot_cot,0.7261663865546218,3.793645703079899,14.894491195678713,
math_heavy,gemma_4_e4b,gemma_4_e4b,zero_shot,0.6963512605042017,4.386367710199457,14.894491195678713,
math_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,cot,0.29281344537815124,8.163670218877916,7.145148277282715,
math_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,few_shot_cot,0.42125378151260506,8.152990486092522,7.145148277282715,
math_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,zero_shot,0.30146050420168063,8.190883137218169,7.145148277282715,
math_heavy,qwen3_30b_a3b,qwen3_30b_a3b,cot,0.6239361344537815,15.025042094450225,57.62053298950195,
math_heavy,qwen3_30b_a3b,qwen3_30b_a3b,few_shot_cot,0.6661882352941177,14.090466079096224,57.62053298950195,
math_heavy,qwen3_30b_a3b,qwen3_30b_a3b,zero_shot,0.6483042016806723,14.706398877584853,57.62053298950195,
math_heavy,qwen3_8b,qwen3_8b,cot,0.43413949579831934,7.96566062910836,15.256451606750488,
math_heavy,qwen3_8b,qwen3_8b,few_shot_cot,0.7025563025210084,7.272222863125857,15.256451606750488,
math_heavy,qwen3_8b,qwen3_8b,zero_shot,0.4141294117647059,7.524197788761084,15.256451606750488,
truthfulqa_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,cot,0.7453285714285713,8.401336378069876,48.06737232208252,
truthfulqa_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,few_shot_cot,0.7715142857142856,10.403567567500543,48.06737232208252,
truthfulqa_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,zero_shot,0.7883915966386554,7.087543092488585,48.06737232208252,
truthfulqa_heavy,gemma_4_e2b,gemma_4_e2b,cot,0.5991747899159664,4.4804135230638,9.543148517608644,
truthfulqa_heavy,gemma_4_e2b,gemma_4_e2b,few_shot_cot,0.594861344537815,5.9175911750894725,9.543148517608644,
truthfulqa_heavy,gemma_4_e2b,gemma_4_e2b,zero_shot,0.5975470588235294,5.197454099977937,9.543148517608644,
truthfulqa_heavy,gemma_4_e4b,gemma_4_e4b,cot,0.6824100840336134,4.840486979678868,14.894491195678713,
truthfulqa_heavy,gemma_4_e4b,gemma_4_e4b,few_shot_cot,0.7482915966386554,3.793645703079899,14.894491195678713,
truthfulqa_heavy,gemma_4_e4b,gemma_4_e4b,zero_shot,0.7401378151260505,4.386367710199457,14.894491195678713,
truthfulqa_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,cot,0.6756033613445378,8.163670218877916,7.145148277282715,
truthfulqa_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,few_shot_cot,0.7126134453781512,8.152990486092522,7.145148277282715,
truthfulqa_heavy,phi_4_mini_reasoning,phi_4_mini_reasoning,zero_shot,0.6575151260504201,8.190883137218169,7.145148277282715,
truthfulqa_heavy,qwen3_30b_a3b,qwen3_30b_a3b,cot,0.8236840336134452,15.025042094450225,57.62053298950195,
truthfulqa_heavy,qwen3_30b_a3b,qwen3_30b_a3b,few_shot_cot,0.8411470588235294,14.090466079096224,57.62053298950195,
truthfulqa_heavy,qwen3_30b_a3b,qwen3_30b_a3b,zero_shot,0.835326050420168,14.706398877584853,57.62053298950195,
truthfulqa_heavy,qwen3_8b,qwen3_8b,cot,0.7787848739495798,7.96566062910836,15.256451606750488,
truthfulqa_heavy,qwen3_8b,qwen3_8b,few_shot_cot,0.8618890756302522,7.272222863125857,15.256451606750488,
truthfulqa_heavy,qwen3_8b,qwen3_8b,zero_shot,0.7639823529411764,7.524197788761084,15.256451606750488,
no_truthfulqa_renorm,gemma_4_26b_a4b,gemma_4_26b_a4b,cot,0.7516190476190475,8.401336378069876,48.06737232208252,
no_truthfulqa_renorm,gemma_4_26b_a4b,gemma_4_26b_a4b,few_shot_cot,0.7224761904761905,10.403567567500543,48.06737232208252,
no_truthfulqa_renorm,gemma_4_26b_a4b,gemma_4_26b_a4b,zero_shot,0.7984257703081232,7.087543092488585,48.06737232208252,
no_truthfulqa_renorm,gemma_4_e2b,gemma_4_e2b,cot,0.6672773109243697,4.4804135230638,9.543148517608644,
no_truthfulqa_renorm,gemma_4_e2b,gemma_4_e2b,few_shot_cot,0.7123585434173669,5.9175911750894725,9.543148517608644,
no_truthfulqa_renorm,gemma_4_e2b,gemma_4_e2b,zero_shot,0.6845490196078432,5.197454099977937,9.543148517608644,
no_truthfulqa_renorm,gemma_4_e4b,gemma_4_e4b,cot,0.776689075630252,4.840486979678868,14.894491195678713,
no_truthfulqa_renorm,gemma_4_e4b,gemma_4_e4b,few_shot_cot,0.7717591036414565,3.793645703079899,14.894491195678713,
no_truthfulqa_renorm,gemma_4_e4b,gemma_4_e4b,zero_shot,0.7694173669467785,4.386367710199457,14.894491195678713,
no_truthfulqa_renorm,phi_4_mini_reasoning,phi_4_mini_reasoning,cot,0.21689635854341738,8.163670218877916,7.145148277282715,
no_truthfulqa_renorm,phi_4_mini_reasoning,phi_4_mini_reasoning,few_shot_cot,0.3255854341736695,8.152990486092522,7.145148277282715,
no_truthfulqa_renorm,phi_4_mini_reasoning,phi_4_mini_reasoning,zero_shot,0.21670028011204479,8.190883137218169,7.145148277282715,
no_truthfulqa_renorm,qwen3_30b_a3b,qwen3_30b_a3b,cot,0.5597422969187675,15.025042094450225,57.62053298950195,
no_truthfulqa_renorm,qwen3_30b_a3b,qwen3_30b_a3b,few_shot_cot,0.6098823529411765,14.090466079096224,57.62053298950195,
no_truthfulqa_renorm,qwen3_30b_a3b,qwen3_30b_a3b,zero_shot,0.5789467787114846,14.706398877584853,57.62053298950195,
no_truthfulqa_renorm,qwen3_8b,qwen3_8b,cot,0.44529971988795514,7.96566062910836,15.256451606750488,
no_truthfulqa_renorm,qwen3_8b,qwen3_8b,few_shot_cot,0.6570868347338936,7.272222863125857,15.256451606750488,
no_truthfulqa_renorm,qwen3_8b,qwen3_8b,zero_shot,0.45996078431372545,7.524197788761084,15.256451606750488,
